station_id,station_name,latitude,longitude,zone,lines,mode,mnlc,masc,station,coverage,source,entries_monday,entries_midweek,entries_friday,entries_saturday,entries_sunday,exits_monday,exits_midweek,exits_friday,exits_saturday,exits_sunday,weekly_total,twelve_week_total,annualised_total
940GZZLUCYD,Chorleywood,51.654358,-0.518461,7,Metropolitan,LU,546,CWDu,Chorleywood,Station entry/exit,Gateline,3003,3122,2510,1763,1282,2272,2317,1833,1266,1110,31357,358609,1455300
940GZZLUCPC,Clapham Common,51.461742,-0.138317,2,Northern,LU,547,CPCu,Clapham Common,Station entry/exit,Gateline,10050,12472,12842,14141,8197,11032,13935,13667,15100,8989,173240,1981200,8040059
940GZZLUCPN,Clapham North,51.465135,-0.130016,2,Northern,LU,548,CPNu,Clapham North,Station entry/exit,Gateline,6805,8061,9087,9313,5239,7222,8804,8932,9681,5404,112280,1284056,5210928
940GZZLUCPS,Clapham South,51.452654,-0.147582,2+3,Northern,LU,549,CPSu,Clapham South,Station entry/exit,Gateline,9081,11319,10374,9364,5678,9220,11231,9875,9005,6006,136253,1558214,6323510
940GZZLUCKS,Cockfosters,51.65152,-0.149171,5,Piccadilly,LU,550,CFSu,Cockfosters,Station entry/exit,Gateline,2057,2346,2369,2496,1510,2051,2409,2392,2460,1649,31249,357364,1450247
940GZZLUCND,Colindale,51.595424,-0.249919,4,Northern,LU,551,COLu,Colindale,Station entry/exit,Gateline,10120,11203,10696,8454,6269,9857,10897,10220,7994,6147,136058,1555978,6314434
940GZZLUCSD,Colliers Wood,51.41816,-0.178086,3,Northern,LU,552,CLWu,Colliers Wood,Station entry/exit,Gateline,8039,9190,9136,8342,5693,7800,8798,8653,7798,5625,115049,1315718,5339416
940GZZLUCGN,Covent Garden,51.513093,-0.124436,1,Piccadilly,LU,553,COVu,Covent Garden,Station entry/exit,Gateline,14145,17681,18221,22652,14622,16696,20531,22051,30628,17279,270929,3098390,12573815
940GZZLUCXY,Croxley,51.647044,-0.441718,7,Metropolitan,LU,554,CRXu,Croxley,Station entry/exit,Gateline,1449,1684,1379,751,436,1422,1669,1362,716,471,18046,206372,837496
940GZZLUDGE,Dagenham East,51.544096,0.166017,5,District,LU,555,DGEu,Dagenham East,Station entry/exit,Gateline,4590,4892,4622,3218,2400,4261,4577,4348,2888,2270,57004,651907,2645552
940GZZLUDGY,Dagenham Heathway,51.541639,0.147527,5,District,LU,556,DGHu,Dagenham Heathway,Station entry/exit,Gateline,8095,8694,8515,5702,4040,7944,8564,8360,5554,4040,104024,1189639,4827763
940GZZLUDBN,Debden,51.645386,0.083782,6,Central,LU,557,DEBu,Debden,Station entry/exit,Gateline,3176,3532,3132,1970,1227,3107,3439,2982,1897,1264,39669,453661,1841035
940GZZLUDOH,Dollis Hill,51.551955,-0.239068,3,Jubilee,LU,558,DHLu,Dollis Hill,Station entry/exit,Gateline,5097,5503,5408,4232,3113,4687,4961,4870,3846,2942,65587,750064,3043893
940GZZLUEBY,Ealing Broadway,51.515017,-0.301457,3,Central|District,LU,560,EBYu,Ealing Broadway,Station entry/exit,Gateline,22063,25758,24877,21081,14778,24870,27290,25426,22951,17265,332452,3801975,15429088
940GZZLUECM,Ealing Common,51.51014,-0.288265,3,District|Piccadilly,LU,561,ECMu,Ealing Common,Station entry/exit,Gateline,2935,3338,3294,2762,1962,3001,3411,3290,2614,2015,42123,481721,1954910
940GZZLUECT,Earl's Court,51.492063,-0.193378,1+2,District|Piccadilly,LU,562,ECTu,Earl's Court,Station entry/exit,Gateline,23468,25726,26109,23500,19063,23245,25919,26894,24498,18294,340007,3888374,15779710
940GZZLUEAN,East Acton,51.516612,-0.247248,2,Central,LU,563,EACu,East Acton,Station entry/exit,Gateline,5019,5594,5225,3931,2734,5095,5606,5187,3983,2689,67462,771506,3130908
940GZZLUEFY,East Finchley,51.587131,-0.165012,3,Northern,LU,565,EFYu,East Finchley,Station entry/exit,Gateline,8026,9555,8330,6966,4609,7948,9374,8011,6607,4720,112004,1280894,5198096
940GZZLUEHM,East Ham,51.538948,0.051186,3+4,District|Hammersmith & City,LU,566,EHMu,East Ham,Station entry/exit,Gateline,17788,18335,18454,14959,12043,17317,17967,17666,13854,11448,232437,2658187,10787392
940GZZLUEPY,East Putney,51.459205,-0.211,2+3,District,LU,567,EPYu,East Putney,Station entry/exit,Gateline,8923,10176,9622,8084,5810,8943,10149,9052,7408,5845,124658,1425606,5785361
940GZZLUEAE,Eastcote,51.576506,-0.397373,5,Metropolitan|Piccadilly,LU,564,ETEu,Eastcote,Station entry/exit,Gateline,3472,3971,3582,2858,1667,3393,3937,3475,2660,1671,46501,531796,2158123
940GZZLUEGW,Edgware,51.613653,-0.274928,5,Northern,LU,568,EDGu,Edgware,Station entry/exit,Gateline,6586,7017,6680,5344,3894,6598,7009,6685,5423,3767,87052,995537,4040066
940GZZLUERB,Edgware Road (Bakerloo),51.520299,-0.17015,1,Bakerloo,LU,774,ERBu,Edgware Road (Bak),Station entry/exit,Gateline,5104,5596,5432,5901,3403,5189,6004,5728,5177,3448,74182,848354,3442771
940GZZLUERC,Edgware Road (Circle Line),51.519858,-0.167832,1,Circle|District|Hammersmith & City,LU,569,ERDu,Edgware Road (DIS),Station entry/exit,Gateline,8663,10012,9268,8078,5788,8507,9760,9120,8007,5563,122308,1398736,5676320
940GZZLUEAC,Elephant & Castle,51.494536,-0.100606,1+2,Bakerloo|Northern,LU,570,ELEu,Elephant & Castle LU,Station entry/exit,Gateline,21000,25283,24005,22126,15005,20187,23304,22964,21126,14573,306745,3507992,14236050
940GZZLUEPK,Elm Park,51.549775,0.19864,6,District,LU,571,EPKu,Elm Park,Station entry/exit,Gateline,4226,4841,4166,2836,1916,4089,4741,4091,2797,1923,54791,626594,2542830
940GZZLUEMB,Embankment,51.507058,-0.122666,1,Bakerloo|Circle|District|Northern,LU,542,EMBu,Embankment,Station entry/exit,Gateline,21973,28762,26468,31414,19679,21598,28321,26034,30847,18143,367405,4201706,17051267
940GZZLUEPG,Epping,51.69368,0.113767,6,Central,LU,572,EPPu,Epping,Station entry/exit,Manual Count,4667,5343,5457,5730,3453,4656,5434,5099,5229,3972,70594,807325,3276268
940GZZLUEUS,Euston,51.528344,-0.1323,1,Northern|Victoria,LU,574,EUSu,Euston LU,Station entry/exit,Gateline,41115,50032,48535,45359,34321,41734,50663,52559,46428,33522,645660,7383875,29965071
940GZZLUESQ,Euston Square,51.525604,-0.135829,1,Circle|Hammersmith & City|Metropolitan,LU,575,ESQu,Euston Square,Station entry/exit,Gateline,18161,20811,17750,10271,8161,19293,22315,19845,10497,8818,242175,2769556,11239346
940GZZLUFLP,Fairlop,51.595618,0.091004,4,Central,LU,576,FLPu,Fairlop,Station entry/exit,Gateline,1441,1621,1437,1280,776,1374,1502,1372,1252,786,19087,218281,885823
940GZZLUFCN,Farringdon,51.520252,-0.104913,1,Circle|Hammersmith & City|Metropolitan,LU,577,FARu,Farringdon,Station entry/exit,Gateline,65397,84203,62876,35288,23739,63536,80892,60968,34078,22235,863400,9873986,40070382
940GZZLUFYC,Finchley Central,51.600921,-0.192527,4,Northern,LU,578,FYCu,Finchley Central,Station entry/exit,Gateline,9795,11621,10398,7709,4723,9597,11151,10057,6928,7335,134860,1542284,6258859
940GZZLUFYR,Finchley Road,51.546825,-0.179845,2,Jubilee|Metropolitan,LU,579,FRDu,Finchley Road,Station entry/exit,Gateline,11326,12418,12354,9410,7196,11076,11951,11652,8819,6860,151800,1736008,7045026
940GZZLUFPK,Finsbury Park,51.564158,-0.106825,2,Piccadilly|Victoria,LU,580,FPKu,Finsbury Park,Station entry/exit,Gateline,28655,33928,33814,32968,24806,28334,33547,33019,32506,24753,441280,5046548,20479785
940GZZLUFBY,Fulham Broadway,51.480081,-0.195422,2,District,LU,581,FBYu,Fulham Broadway,Station entry/exit,Gateline,10439,12165,11726,9502,6348,10557,12056,11062,8818,5904,147019,1681334,6823150
940GZZLUGTH,Gants Hill,51.576544,0.066185,4,Central,LU,582,GHLu,Gants Hill,Station entry/exit,Gateline,8013,8768,8132,5895,4388,7593,8326,7773,5682,4245,103003,1177960,4780369
940GZZLUGTR,Gloucester Road,51.494316,-0.182658,1,Circle|District|Piccadilly,LU,583,GRDu,Gloucester Road,Station entry/exit,Gateline,18015,19562,20131,15774,12187,17109,19050,19344,14987,11251,244635,2797689,11353518
940GZZLUGGN,Golders Green,51.572259,-0.194039,3,Northern,LU,584,GGRu,Golders Green,Station entry/exit,Gateline,9528,10353,10117,7681,6450,9585,10386,10118,7628,6622,129944,1486057,6030683
940GZZLUGHK,Goldhawk Road,51.502005,-0.226715,2,Circle|Hammersmith & City,LU,585,GHRu,Goldhawk Road,Station entry/exit,Gateline,2712,3151,3135,2770,1690,2680,3097,2896,2497,1763,38886,444701,1804676
940GZZLUGDG,Goodge Street,51.520599,-0.134361,1,Northern,LU,586,GSTu,Goodge Street,Station entry/exit,Gateline,8240,9484,7781,5251,2954,8646,10369,8814,5825,3114,110183,1260067,5113576
940GZZLUGGH,Grange Hill,51.613378,0.092066,4,462|Central,LU,587,GRHu,Grange Hill,Station entry/exit,Gateline,725,815,702,434,266,662,721,577,343,241,8560,97896,397280
940GZZLUGPS,Great Portland Street,51.52384,-0.144262,1,Circle|Hammersmith & City|Metropolitan,LU,588,GPSu,Great Portland Street,Station entry/exit,Gateline,8787,10667,8174,4873,3473,8863,10805,8323,5030,3275,115214,1317603,5347065
