mode,mnlc,masc,station,coverage,source,entries_monday,entries_midweek,entries_friday,entries_saturday,entries_sunday,exits_monday,exits_midweek,exits_friday,exits_saturday,exits_sunday,weekly_total,twelve_week_total,annualised_total
LU,631,LSQu,Leicester Square,Station entry/exit,Gateline,31720,42332,51527,64463,37397,28364,37768,45912,57018,33252,589951,6746782,27379635
LU,632,LEYu,Leyton,Station entry/exit,Gateline,13116,14429,14167,15029,8914,12582,13933,13371,14170,8709,185144,2117339,8592536
LU,633,LYSu,Leytonstone,Station entry/exit,Gateline,10698,12019,11893,9490,6683,10745,12109,11806,9417,6760,149876,1714003,6955728
LU,634,LSTu,Liverpool Street LU,Station entry/exit,Gateline,83559,105490,91428,74086,47873,85288,106135,91332,76196,48422,1233062,14101505,57226398
LU,635,LONu,London Bridge LU,Station entry/exit,Gateline,72179,90894,90270,101262,63986,70057,88799,86000,96497,60716,1180047,13495221,54765991
LU,636,LTNu,Loughton,Station entry/exit,Gateline,4200,4891,4469,3781,2263,4246,5035,4568,3650,2353,59307,678241,2752421
LU,637,MDVu,Maida Vale,Station entry/exit,Gateline,4140,4823,4593,3883,2575,3969,4562,4269,3597,2598,57780,660783,2681574
LU,638,MNRu,Manor House,Station entry/exit,Gateline,8846,10067,10084,9193,6494,8801,9910,9788,8709,6631,128476,1469274,5962575
LU,639,MANu,Mansion House,Station entry/exit,Gateline,6905,8749,6097,3401,2499,7408,9665,6650,3617,2505,94323,1078696,4377539
LU,640,MARu,Marble Arch,Station entry/exit,Gateline,12567,14172,14060,14486,9961,12280,14033,13708,14001,9412,185091,2116733,8590075
LU,641,MYBu,Marylebone LU,Station entry/exit,Gateline,11135,14398,12359,11549,7696,11487,15410,13116,12426,7909,177100,2025350,8219228
LU,642,MLEu,Mile End,Station entry/exit,Gateline,17667,19368,19188,15373,11036,17509,18916,18369,14801,11365,240160,2746510,11145822
LU,643,MHEu,Mill Hill East,Station entry/exit,Manual Count,2532,3055,2610,2069,1193,2609,2860,2349,1992,1321,34420,393633,1597432
LU,646,MPKu,Moor Park,Station entry/exit,Gateline,1435,1587,1409,742,421,1373,1568,1380,755,447,17427,199295,808774
LU,645,MGTu,Moorgate,Station entry/exit,Gateline,37566,48929,31103,14290,9328,41036,53221,35061,17194,10672,502698,5748937,23330204
LU,647,MORu,Morden,Station entry/exit,Gateline,12752,14216,13743,12881,8628,12001,13670,13479,12304,8612,178057,2036291,8263631
LU,648,MCRu,Mornington Crescent,Station entry/exit,Gateline,3947,5563,4735,7090,2938,3554,4885,4346,3932,2045,63930,731119,2967011
LU,649,NEAu,Neasden,Station entry/exit,Gateline,4444,4649,4559,3390,2493,4046,4217,4164,3230,2359,55284,632232,2565708
LU,650,NEPu,Newbury Park,Station entry/exit,Gateline,5755,6244,5948,4263,3149,5239,5681,5435,4062,3023,72649,830827,3371643
LU,831,NIEu,Nine Elms,Station entry/exit,Gateline,6300,7116,6959,5717,4864,5918,7025,6553,5233,4562,88529,1012428,4108613
LU,653,NACu,North Acton,Station entry/exit,Gateline,9206,9784,9727,7332,5524,9220,9666,9599,7133,5702,121794,1392854,5652447
LU,654,NELu,North Ealing,Station entry/exit,Gateline,1000,1077,1152,817,491,975,1041,1001,751,508,13050,149237,605628
LU,789,NOGu,North Greenwich,Station entry/exit,Gateline,24703,37187,39217,41088,24360,25474,40086,42612,44760,25267,499297,5710050,23172392
LU,656,NHRu,North Harrow,Station entry/exit,Gateline,2338,2699,2355,1618,1059,2246,2566,2198,1507,1021,30137,344647,1398638
LU,659,NWBu,North Wembley,Station entry/exit,Gateline,2265,2318,2330,1727,1055,2149,2255,2159,1491,1033,27926,319365,1296040
LU,655,NFDu,Northfields,Station entry/exit,Gateline,3857,4581,4370,3245,2511,3759,5414,5350,4162,2716,59953,685633,2782422
LU,657,NHTu,Northolt,Station entry/exit,Gateline,6503,6867,6802,5612,3981,6266,6577,6396,5105,3835,84831,970145,3937018
LU,660,NWPu,Northwick Park,Station entry/exit,Gateline,6137,6227,5798,3623,2486,6111,6112,5494,3172,2427,72261,826391,3353641
LU,661,NWDu,Northwood,Station entry/exit,Gateline,3557,4047,3725,2539,1551,3504,4015,3631,2376,1521,46587,532773,2162088
