station_id,station_name,latitude,longitude,zone,lines
940GZZLUCPS,Clapham South,51.452654,-0.147582,2+3,Northern
940GZZLUCKS,Cockfosters,51.65152,-0.149171,5,Piccadilly
940GZZLUCND,Colindale,51.595424,-0.249919,4,Northern
940GZZLUCSD,Colliers Wood,51.41816,-0.178086,3,Northern
940GZZLUCGN,Covent Garden,51.513093,-0.124436,1,Piccadilly
940GZZLUCXY,Croxley,51.647044,-0.441718,7,Metropolitan
940GZZLUDGE,Dagenham East,51.544096,0.166017,5,District
940GZZLUDGY,Dagenham Heathway,51.541639,0.147527,5,District
940GZZLUDBN,Debden,51.645386,0.083782,6,Central
940GZZLUDOH,Dollis Hill,51.551955,-0.239068,3,Jubilee
940GZZLUEBY,Ealing Broadway,51.515017,-0.301457,3,Central|District
940GZZLUECM,Ealing Common,51.51014,-0.288265,3,District|Piccadilly
940GZZLUECT,Earl's Court,51.492063,-0.193378,1+2,District|Piccadilly
940GZZLUEAN,East Acton,51.516612,-0.247248,2,Central
940GZZLUEFY,East Finchley,51.587131,-0.165012,3,Northern
940GZZLUEHM,East Ham,51.538948,0.051186,3+4,District|Hammersmith & City
940GZZLUEPY,East Putney,51.459205,-0.211,2+3,District
940GZZLUEAE,Eastcote,51.576506,-0.397373,5,Metropolitan|Piccadilly
940GZZLUEGW,Edgware,51.613653,-0.274928,5,Northern
940GZZLUERB,Edgware Road (Bakerloo),51.520299,-0.17015,1,Bakerloo
940GZZLUERC,Edgware Road (Circle Line),51.519858,-0.167832,1,Circle|District|Hammersmith & City
940GZZLUEAC,Elephant & Castle,51.494536,-0.100606,1+2,Bakerloo|Northern
940GZZLUEPK,Elm Park,51.549775,0.19864,6,District
940GZZLUEMB,Embankment,51.507058,-0.122666,1,Bakerloo|Circle|District|Northern
940GZZLUEPG,Epping,51.69368,0.113767,6,Central
940GZZLUEUS,Euston,51.528344,-0.1323,1,Northern|Victoria
940GZZLUESQ,Euston Square,51.525604,-0.135829,1,Circle|Hammersmith & City|Metropolitan
940GZZLUFLP,Fairlop,51.595618,0.091004,4,Central
940GZZLUFCN,Farringdon,51.520252,-0.104913,1,Circle|Hammersmith & City|Metropolitan
940GZZLUFYC,Finchley Central,51.600921,-0.192527,4,Northern
940GZZLUFYR,Finchley Road,51.546825,-0.179845,2,Jubilee|Metropolitan
940GZZLUFPK,Finsbury Park,51.564158,-0.106825,2,Piccadilly|Victoria
940GZZLUFBY,Fulham Broadway,51.480081,-0.195422,2,District
940GZZLUGTH,Gants Hill,51.576544,0.066185,4,Central
940GZZLUGTR,Gloucester Road,51.494316,-0.182658,1,Circle|District|Piccadilly
940GZZLUGGN,Golders Green,51.572259,-0.194039,3,Northern
940GZZLUGHK,Goldhawk Road,51.502005,-0.226715,2,Circle|Hammersmith & City
940GZZLUGDG,Goodge Street,51.520599,-0.134361,1,Northern
